번호,구분,문제내용,보기1,보기2,보기3,보기4,정답,해설
139,OX퀴즈,부실기업의 처리 방법 중 화의는 채권자 등 이해 관계자들이 기업(채무자)과 합의하여 일정 기간 채권 행사를 유예해 주고 영업 활동이 계속되도록 하여 부실 기업의 회생을 돕는 방법을 말한다.,,,,,1번(O),"화의는 기업이 파산ㆍ부도 위험에 직면했을 때 법원의 중재를 받아 채권자들과 채무 변제협정을 체결하여 파산을 피하는 제도로, 기업(채무자)의 경영권을 인정하여 부실 기업을 회생시켜서 채권의 회수를 도모하는 방식이다. 법원은 화의신청이 타당하다고 판단되면 법정관리와 마찬가지로 재산보전처분결정을 내려 채무이행을 동결하여 부도를 막아준다. 법원이 법정관리인을 선정하고 기업경영까지 책임지는 법정관리와는 다르게 화의제도에서는 법원이 기업경영에 전혀 개입하지 않고 기존 경영주가 기업경영을 계속 맡는다."
140,OX퀴즈,불성실 공시 기업에 대하여 금융위원회는 유가증권 발행 제한 조치를 취할 수 있다.,,,,,1번(O),"불성실 공시에 대한 증권거래소 제재로는 증권 매매 거래 정지, 상장 폐지 등이 있고, 금융위원회 제재로는 주의, 경고, 각서 징구, 유가증권 발행 제한, 임원해임 권고, 수사기관 고발 등이 있다."
141,OX퀴즈,S&P사의 신용등급 분류기준 중 BB 등급은 투자 적격 등급이다.,,,,,2번(X),"S&P는 Standard & Poor's(스탠더드 앤 푸어스)의 약자로 미국의 신용평가회사를 가리킨다.  S&P기준으로 투자 적격 채권은 BBB 이상 등급의 채권을, 투자 부적격 채권은 BB+ 이하 등급의 채권을 말한다."
142,OX퀴즈,우리나라에서는 전환사채와 달리 전환주식의 발행은 허용되지 않는다.,,,,,2번(X),"전환주식은 회사가 권리내용이 다른 여러 종류의 주식을 발행하는 경우 다른 종류의 주식으로 전환할 수 있는 권리, 즉 전환권이 인정되는 주식을 말한다. 전환주식의 가장 일반적인 행태는 우선주를 보통주로 전환하는 것이며 이 경우 전환주식을 전환우선주라고 한다."
143,OX퀴즈,오페라본드는 채권 인수자가 금융기관을 선택해 해당 기관의 주식으로 전환할 수 있는 권리가 부여된 채권이라는 점에서 선택형 교환사채라고 부르기도 한다.,,,,,1번(O),"오페라본드는 다수의 금융기관 주식을 담보로 채권을 발행하고 일정 기간이 지난 후 채권 인수자가 금융기관을 선택해 해당 기관의 주식으로 전환할 수 있는 권리가 부여된 채권(상품)을 말하며, 선택형 교환사채라고 부르기도 한다. 오페라(OPERA)본드는 Out Performance Equity Redeemable in Any Asset의 첫 글자를 따서 명명한 것이다."
144,OX퀴즈,지급준비금은 증권회사가 유가증권의 매매 등과 관련하여 고객으로부터 받아 일시 보관 중인 금전이다.,,,,,2번(X),증시 주변의 자금사정을 알아보는 주요한 지표로서 고객예탁금에 대한 설명이다. 고객예탁금은 투자자들이 주식을 사기 위해 증권회사에 일시적으로 맡겨 놓은 예수금이다. 지급준비금은 각 금융회사가 고객으로부터 받은 예금 중에서 중앙은행에 의무적으로 예치해야 하는 자금을 말한다.
145,OX퀴즈,나스닥지수는 뉴욕 증권거래소에 상장된 주식 중에서 가장 안정적인 공업주 30개를 표본으로 해서 단순평균방식으로 산출된 시장지표를 말한다.,,,,,2번(X),"나스닥지수는 나스닥 시장의 종합주가지수를 말한다. 주로 구글, 애플, 야후, 아마존닷컴 등 첨단 기술과 인터넷 기업이 상장돼 있다. 시가총액 기준 방식으로 지수가 산출되며 여기에는 구글, 애플, 야후, 아마존닷컴 등 총 1,353개가 편입돼 있다. 다우존스 평균종합지수는 미국의 다우존스사가 뉴욕증권거래소 주요 상장 주식의 주가 평균을 산출하여 매일 발표하는 주가지수로, 공업주 30종, 철도주 20종, 공공주 15종 평균과 65종목 평균이 있는데, 이중 공업주 30종목 평균이 가장 널리 이용되고 있다."
146,OX퀴즈,MMDA(수시입출금식 예금)은 보통예금처럼 수시로 입출금할 수는 있지만 보통예금과 달리 이자가 전혀 없다.,,,,,2번(X),"보통예금처럼 입출금이 자유롭고, 각종 이체와 결제도 할 수 있으며, 예금자보호법에 의하여 5,000만 원 한도 내에서 보호를 받을 수 있다. 또한 실세 금리를 적용하여 보통예금보다 비교적 높은 이자를 지급하며, 가입대상에 제한이 없어 일시적인 목돈을 운용하는 데에 적합하다는 장점을 지닌다. 단 500만 원 미만의 소액이거나 법인의 경우 예치기간이 7일 미만일 때는 이자율이 낮거나 없을 수도 있다."
147,객관식퀴즈,"세계 최대 선물거래소인 뉴욕상품거래소에 상장된 중심 유종이며 품질이 좋고, 원유를 정제할 때 가격이 비싼 휘발유와 나프타 등 고급 유류가 많이 생산되어 가격이 높게 형성되어 있는 유종으로 가장 적절한 것은?",북해산 브렌트유,서부텍사스산 원유,중국산 원유,중동산 두바이유,2번,"서부텍사스산 원유(WTI: West Texas Intermediate)는 영국 북해에서 생산되는 브렌트유, 중동에서 생산되는 두바이유와 함께 세계 3대 유종 중 하나다. 미국 서부 텍사스(West Texas) 중간지역(Intermediate)에서 생산된다 하여 약어인 WTI로 통용되고 있다. WTI는 국제 원유시장에서 거래되기 보다는 미국 내에서 주로 거래되지만 국제유가를 선도하는 가격지표로 가장 많이 활용되고 있다. 그 이유는 세계 최대 선물거래소인 뉴욕상품거래소(New York Mercantile Exchange:NYMEX)에 상장된 중심 유종이기 때문이다. 3대 원유 중 WTI가 품질이 좋고, 원유를 정제할 때 가격이 비싼 휘발유와 나프타 등 고급 유류가 많이 생산되어 가격이 높게 형성된다. 원유의 품질은 석유 내 탄소비중(API)과 황 함유량에 따라 구분되는데 WTI는 API가 39도로 3대 원유 중 가장 높은 경질유(34도 이상)인 반면, 황 함유량은 0.3%로 가장 낮다. 반면 두바이유는 API가 28도로 가장 낮고, 황 함유량은 2.9%로 가장 높아 산업용에나 적합한 고유황 중질유다."
148,객관식퀴즈,"비전통(unconventional) 석유의 하나로서, 점토나 모래 물 등에 중질 원유가 10% 이상 함유된 것을 지칭하는 말로 가장 적절한 것은?",메탄 하이드레이트,천연가스,셰일가스,오일샌드,4번,"오일샌드(Oil Sand)는 비전통(unconventional) 석유의 하나로서, 점토나 모래 물 등에 중질 원유가 10% 이상 함유된 것을 말한다. 처음에는 '원유를 함유한 모래'를 의미했으나, 현재는 유층에 존재하는 원유를 함유한 모든 암석에 대해 쓰인다."
149,객관식퀴즈,"생체 검증을 위하여 사람의 피하에 삽입하는 체내 이식용 마이크로 칩으로 쌀알만한 크기로 126개 정보 문자와 데이터 전송용 전자 코일, 동조 콘덴서 등이 실리콘 유리 튜브 속에 들어있는 것을 지칭하는 말로 가장 적절한 것은?",메가칩(Mega Chip),베리칩(VeriChip),아이씨칩(IC Chip),바이오칩(Bio Chip),2번,"베리칩(VeriChip)은 무선 식별(RFID: radio frequency indentification) 기술을 사용하며, 약 4피트 거리에서 해당 스캐너로 칩 데이터를 읽는다. 처음에는 의료 경고용 팔찌와 같은 방법으로 의료 인명 구조용으로 사용되었으나, 의료는 물론 보안 목적으로도 사용된다."
150,객관식퀴즈,"이것은 정보이론, 전파통신, 신호처리, 분광법 등의 분야에서 중요한 개념으로 주파수의 범위를 지칭한다. 일반적으로 헤르츠로 표시하는 것을 지칭하는 말로 가장 적절한 것은?",가청주파수,대역폭,FM 주파수,AM 주파수,2번,"대역폭은 주파수의 범위를 지칭하는 것으로 일반적으로 헤르츠로 표시한다. 대역폭은 정보이론, 전파통신, 신호처리, 분광법 등의 분야에서 중요한 개념이 되고 있다. 정보 전달에 있어 전송로 용량과 밀접한 관련성을 갖고 있다. 특히 어떤 매체나 기기를 경유하여 정보를 전송할 때의 전송량을 대역폭 또는 밴드 폭이라 부른다. 또는 네트워크상에서 정보통신을 위한 신호의 최고주파수와 최저주파수의 범위를 일컫는 말로 일반적으로는 통신에서 정보를 전송할 수 있는 능력, 즉 최대전송 속도를 말한다."
151,객관식퀴즈,"거대한 규모의 전력망이란 의미로, 대륙간 혹은 국가 간에 생산된 전력을 연결하여 서로 융통하는 에너지 수송 네트워크와 관련이 없는 것은?",스마트그리드(Smart Grid),글로벌그리드(Global Grid),슈퍼그리드(Super Grid),메가그리드(Mega Grid),2번,"슈퍼그리드(Super Grid)는 거대한 규모의 전력망(그리드)이란 의미로, 대륙간 혹은 국가 간에 생산된 전력을 연결하여 서로 융통하는 에너지 수송 네트워크이다. 북유럽의 슈퍼그리드, 남유럽-마그레브 슈퍼그리드, 남부 아프리카 슈퍼그리드 등이 대표적이다. 한동안 대륙망(Continental Grid)이라 불리다 최근에는 스마트그리드(Smart Grid)가 적용된 전력망이 연결된다는 차원에서 슈퍼그리드라는 용어가 더 자주 쓰인다. 메가그리드(Mega Grid)라고도 한다."
152,객관식퀴즈,"이것은 진흙이 수평으로 퇴적하여 굳어진 암석층에 함유된 천연가스로 오랜 세월 모래·진흙이 쌓여 단단하게 굳은 암석의 미세한 틈새에 넓게 분포돼 있는 가스이다. 난방·발전용으로 쓰이는 메탄 70~90%, 석유화학 원료인 에탄 5%, LPG 제조에 쓰이는 콘덴세이트 5~25%로 구성돼 화학적 성질이 기존 가스와 동일한 이것은?",CNG,셰일가스,LPG,LNG,2번,"셰일가스(Shale Gas)는 진흙이 수평으로 퇴적하여 굳어진 암석층(혈암, Shale)에 함유된 천연가스이다. 기존의 가스는 셰일층에서 만들어져 지표면으로 올라간 것이지만, 셰일가스는 암석층에 막혀 이동하지 못한 채 갇혀 있었다는 점이 다를 뿐이다. 채굴기술이 발달하지 않은 1990년대에는 외면받았으나 2000년대 들어 물과 모래, 화학약품을 섞은 혼합액을 고압으로 분사하는 수압파쇄법 등이 상용화되면서 본격적으로 개발됐다."
153,객관식퀴즈,최근 들어 여러가지 시스템을 하나의 칩에 담는 기술집약적인 반도체(SoC)의 발전으로 내장형 메모리에 대한 요구가 높아지고 있으며 여기에는 비휘발성 메모리가 필수적으로 탑재되고 있는데 비휘발성 메모리를 지칭하는 약어로 적절한 것은?,ROM,NVM,RAM,SSD,2번,NVM는 Non-Volatile Memory(비휘발성 메모리)의 약자다. 비휘발성 메모리는 전원이 공급되지 않아도 입력된 정보가 지워지지 않는 롬의 장점뿐 아니라 정보 입출력이 자유로운 램의 장점을 모두 지니고 있어 휴대폰·PDA 등의 이동기기에 적합하다.
154,객관식퀴즈,PC가 내장돼 있어 이동이 자유롭고 다양한 파일을 선명하게 표현할 수 있는 '제4의 미디어'로 불리는 것으로 가장 적절한 것은?,TV,디지털 사이니지,휴대폰,PC,2번,"디지털 사이니지(Digital Signage)는 LED나 LCD를 활용한 디스플레이 광고게시판을 말한다. 디지털간판 또는 DID(Digital information Display)라고도 한다. TV, PC, 휴대폰에 이은 '제4의 미디어'로 불린다. PC가 내장돼 있어 이동이 자유롭고 다양한 파일을 선명하게 표현할 수 있다. 백화점, 지하철, 버스 정류장 등에서 홍보용, 고객 서비스용, 안내용 매체 등 다양한 용도로 사용된다."
155,OX퀴즈,"인공지능은 기계간의 통신(Machine to Machine)으로, 기계 간의 통신을 통한 상호간의 정보 전달이 이루어지는 부분을 의미한다.",,,,,2번(X),"사물지능통신(M2M: Machine-to-Machine)은 기계 간의 통신(Machine to Machine)으로, 기계 간의 통신을 통한 상호 간의 정보 전달이 이루어지는 부분을 의미한다. 사물인터넷(IoT)의 하위개념으로 통용되고 있다. 예시로는 아파트 단지 내 음식물 종량제 수거 시스템이 있다. 인공지능은 인간의 지능 즉, 고도의 문제해결 능력을 가진 인공적 지능을 말한다."
156,OX퀴즈,"잔류성 유기 오염 물질(POPs)의 감소를 목적으로 독성, 생물농축성 등 유기성 오염물질(POPs: Persistent Organic Pollutants)로부터 인간의 건강과 환경을 보호하기 위해 지정 물질의 제조 · 사용 · 수출입 금지 또는 제한하는 협약을 의미하는 것으로, 2001년 5월에 스웨덴에서 채택되어, 2004년 5월 17일에 발효된 것은 스톡홀름협약이다.",,,,,1번(O),"스톡홀름협약(Stockholm Convention on Persistent Organic Pollutants)은 잔류성 유기 오염 물질(POPs)의 감소를 목적으로 독성, 생물농축성 등 유기성 오염물질(POPs: Persistent Organic Pollutants)로부터 인간의 건강과 환경을 보호하기 위해 지정 물질의 제조 · 사용 · 수출입 금지 또는 제한하는 협약이다. 2001년 5월에 스웨덴에서 채택되어, 2004년 5월 17일에 발효되었다."
157,OX퀴즈,"비트코인은 전자매체(컴퓨터, IC카드, 네트워크 장비 등)를 통해 지급결제ㆍ가치이전 등 화폐의 기능을 수행하는 전자지급수단으로, 1990년대 중반 유럽중앙은행(ECB), 국제결제은행(BIS) 등에서 사용되기 시작했다.",,,,,2번(X),"전자화폐는 전자매체(컴퓨터, IC카드, 네트워크 장비 등)를 통해 지급결제ㆍ가치이전 등 화폐의 기능을 수행하는 전자지급수단을 말한다. 1990년대 중반 유럽중앙은행(ECB), 국제결제은행(BIS) 등에서 사용되기 시작했다. 물품화폐(곡물, 직물 등), 금속화폐(금화, 은화 등), 명목화폐(은행권, 주화)에 이은 '제4의 화폐'라고도 일컬어진다. 전자화폐는 가치저장 매체를 기준으로 크게 IC칩을 내장한 스마트카드에 화폐가치를 저장하는 'IC카드형(오프라인형)'과 인터넷과 연결된 PC에 화폐가치를 저장하여 통신망을 통해 이전하는 '네트워크형'으로 분류된다."
158,OX퀴즈,"미래연구를 위해 1966년 미국에서 설립된 비영리조직으로, 'The Futurist' 등 미래 관련 간행물을 발간하고 연례회의를 열어 미래 이슈를 선도하고 있으며, 과거에 관한 리뷰를 바탕으로 미래를 예상하는 것에 초점을 두고 있는 것은 ‘다보스 포럼’이다.",,,,,2번(X),"세계미래학회(World Future Society)는 미래연구를 위해 1966년 미국에서 설립된 비영리조직으로, 세계 각지에 약 2만5000여 명의 회원을 두고 있다. 'The Futurist' 등 미래 관련 간행물을 발간하고 연례회의를 열어 미래 이슈를 선도하고 있으며, 과거에 관한 리뷰를 바탕으로 미래를 예상하는 것에 초점을 두고 있다."
159,OX퀴즈,"‘유목민, 정착하지 않고 떠돌아다니는 사람'이란 의미로 정보기술의 발달로 등장한 21세기형 신인류를 ‘노마드족’이라 한다.",,,,,1번(O),"노마드족(Nomad)족의 노마드(nomad)는 '유목민, 정착하지 않고 떠돌아다니는 사람'이란 의미로 노마드족(Nomad)족은 정보기술의 발달로 등장한 21세기형 신인류를 뜻한다. '디지털 노마드족'은 휴대폰, 노트북, 디지털 카메라 등 첨단 기기를 활용해 시간과 공간에 구애받지 않고 인터넷에 접속해 필요한 정보를 찾고 쌍방 커뮤니케이션을 통해 세상과 소통하는 사람들을 말한다."
160,OX퀴즈,화석연료 발전단가와 신재생에너지 발전단가가 같아지는 시기를 그리드 타임이라 한다.,,,,,2번(X),"그리드 패리티(Grid parity)는 화석연료 발전단가와 신재생에너지 발전단가가 같아지는 시기를 말한다. 현재 신재생에너지 발전단가가 화석연료보다 월등히 높지만, 각국 정부의 신재생에너지 육성 정책과 기술 발전에 따라 비용이 낮아지게 되면 언젠가는 등가(parity) 시점이 올 것이라는 전망이다."
161,OX퀴즈,"연료원, 가격, 친환경성 등 다양한 장점 때문에 화석연료를 대체하기 위한 대안으로 손꼽히고 있으며 촉매를 이용한 열분해를 통해 메탄이 주성분인 천연가스의 일부 화학구조를 변화시켜 얻을 수 있는 화합물은 메탄 하이드레이트(Methane Hydrate)이다.",,,,,2번(X),문제는 DME(디메틸 에테르)를 설명한 것이다. 메탄 하이드레이트(Methane Hydrate)는 해초나 플랑크톤의 퇴적층이 썩을 때 발생하는 메탄가스가 심해저의 저온 고압상태에서 물과 결합하여 형성된 고체 에너지원이다. 형체가 드라이아이스와 비슷하며 불을 붙이면 활활 타올라 일명 '불타는 얼음(Burning Ice)'으로 불린다.
162,OX퀴즈,"유해폐기물의 국가간 이동 및 교역을 규제하는 협약으로, 1989년 3월 22일 유엔 환경계획(UNEP) 후원 하에 스위스 바젤(Basel)에서 채택된 유해폐기물의 불법 이동을 줄이자는 국제협약은 ‘북동대서양 협약’이다.",,,,,2번(X),바젤협약(Basel Convention)은 유해폐기물의 국가 간 이동 및 교역을 규제하는 협약이다. 선진국에서 자국의 엄격한 규제를 피해 유해폐기물을 중남미 및 아프리카 등 후진국에 밀수출하거나 매각하는 등 유해폐기물의 부정적 처리로 인한 환경오염이 국제문제로 두각 되었다. 이에 후진국의 환경보호 및 지구환경보호를 위한 국제협력의 필요성이 제기되었고 그 결과 바젤협약을 맺게 되었다. 우리나라도 1994년 3월에 가입하여 국가 간의 폐기물 거래를 막고 있다.
163,객관식퀴즈,기업이 특허(지적재산권)에 관한 이익을 창출한 부분에 기존 법인세율보다 낮은 법인세율을 부과하여 세금을 감면해 주는 제도를 의미하는 것은?,특허 조약우선권제도,PCT 국제출원제도,발전 차액지원제도,특허박스(Patent Box),4번,"특허박스(Patent Box)는 기업이 특허(지적재산권)에 관한 이익을 창출한 부분에 기존 법인세율보다 낮은 법인세율을 부과하여 세금을 감면해 주는 제도. 이 제도의 적용대상은 특허 외에도 상표, 디자인, 저작권 등으로 다양하게 적용되고 국가마다 차이가 있다. 그리고 지적재산권을 이용한 제품의 매출수익뿐 아니라, 지식재산 자체의 라이선싱, 양도 등으로부터 얻을 수 있는 로열티 및 거래수익에 대해서 법인세를 감면해 주기도 한다. 이러한 특허박스를 통해 당국은 기업들의 연구개발(R&D)을 간접적으로 지원하는 효과를 줄 수 있다."
164,객관식퀴즈,중기재정계획제도에 대한 설명 중 옳은 것은?,기간을 구체적으로 규정하고 있다.,예산 수립시 중기재정계획은 의무 사항이다.,국회의 의결을 필요로 한다.,예산편성에 대하여 구속력은 없다.,4번,"중기재정계획(Mid-term Expenditure Plan, MTEP)은 단년도 예산편성 방식의 문제점을 극복하고 중장기적 관점에서 사업의 투자 우선순위 및 시기를 검토함으로써 재원배분의 일관성ㆍ효율성ㆍ건전성 등을 제고하기 위한 제도이다. 그러나 중기재정계획 수립 목적은 재정의 효율화와 건전화에 있고, 계획기간은 ‘수년간’이라 하여 포괄적으로 규정하고 있으며 계획수립을 ‘가용재원의 예측이 필요한 경우’라는 조건으로 규정함으로써 중기재정계획이 의무적 사항이 아님을 명시하고 있다. 중기재정계획이 예산편성 시 주요 투자사업의 우선순위를 결정하는 데 기초가 될 수 있으나 국회의결을 필요로 하지 않으며, 따라서 예산편성에 대하여 구속력도 없음을 의미한다."
165,객관식퀴즈,다음 중 적자성 국가채무로 보기 힘든 것은?,국민 임대주택 건설을 지원하기 위해 채권을 발행하는 경우,공적자금이 국채로 전환될 경우,중앙정부가 지방정부에 채무가 있을 경우,경기침체로 재정수입이 좋지 않은 상황에서 적자보전용 국채를 발행하는 경우,1번,"국가채무는 성격에 따라 융자금 회수, 자산 매각 등으로 자체상환이 가능한 ‘금융성 채무’와 조세 등 국민부담으로 상환해야 할 ‘적자성 채무’로 나뉜다. 금융성 채무는 외환시장 안정을 위해 외화자산을 매입할 목적으로 외국환평형기금 채권을 발행하거나 국민 임대주택 건설, 근로자ㆍ서민 주택구입 등을 지원하기 위해 채권을 발행하는 경우 이에 해당되며, 채무와 동시에 자산이 생성되기 때문에 자체상환이 가능하다. 반면 적자성 채무는 경기침체로 재정수입이 좋지 않은 상황에서 적자보전용 국채를 발행하거나, 공적자금이 국채로 전환될 경우, 중앙정부가 지방정부에 채무가 있을 경우 적자성 채무로 잡힌다."
166,객관식퀴즈,도심 내 쇠퇴한 주거지역이나 역세권을 주거 및 상업·문화 등 복합지역으로 개발하기 위한 제도를 무엇이라 하는가?,입지규제최소지구,도시재생사업,가로주택정비사업,혁신도시,1번,"입지규제최소지구는 도심 내 쇠퇴한 주거지역이나 역세권을 주거 및 상업·문화 등 복합지역으로 개발하기 위한 제도이다. 입지규제최소지구로 지정되면 기존의 획일적인 입지규제에서 벗어나, 지역의 특성과 수요를 고려하여 건축물의 용도, 건폐율, 용적률 등이 유연하게 적용된다. 따라서 터미널 등 도시 내 주요 거점시설 주변지역의 용도와 밀도를 완화하여 융·복합적 토지이용을 촉진시키고, 기존 주거지역에 해당 지역의 역사나 문화 자산이 연계된 관광이나 문화, 상업 기능의 도입이 가능해진다. 싱가폴의 마리나베이, 동경의 도시재생특구(오오테마치) 등은 민간자본을 통한 융·복합 개발을 촉진하고 지역경제를 활성화한 대표적인 사례이다"
167,객관식퀴즈,실용신안에 대한 설명으로 적절하지 않은 것은?,"특허권의 존속기간이 10년인데 반해, 실용신안권은 설정등록 후 출원일로부터 20년으로 되어 있다.",자국의 국내산업 보호라는 산업정책적 목적에서 탄생한 제도이다.,"특허는 물건의 발명과 방법의 발명이 모두 가능하지만, 실용신안은 반드시 물건의 발명에 한정된다는 점이 다르다.",소발명(小發明)인 ‘고안’을 보호하기 위한 목적으로 마련된 제도이다.,1번,"실용신안제도는 특허법상 보호대상인 ‘발명’이라는 고도의 기술에 가려서 사장되기 쉬운 실용적 기술사상(小發明)인 ‘고안’을 보호하기 위해 마련된 제도이다. 자국의 국내산업 보호라는 산업정책적 목적에서 탄생한 제도라고 볼 수 있다. 실용신안의 보호 대상은 물품의 형상ㆍ구조ㆍ조합에 관한 ‘고안’이다. 여기서 ‘고안’이라 함은 자연법칙을 이용한 기술적 사상의 창작을 의미한다. 실용신안은 고안이나 유용성 있는 기술을 대상으로 하고 있다는 점에서 특허와 유사하지만, 특허는 물건의 발명과 방법의 발명이 모두 가능하지만, 실용신안은 반드시 물건의 발명에 한정된다는 점이 다르다. 또한 특허권의 존속기간은 설정등록 후 출원일로부터 20년, 실용신안권의 그것은 설정등록 후 출원일로부터 10년으로 되어 있어 실용신안권의 존속기간이 짧다. 특허가 발명을 보호대상으로 한 반면 실용신안은 고안을 보호대상으로 하는 것이다."
168,객관식퀴즈,다음 빈칸에 들어가기에 가장 적절한 용어는? 법률적으로 담보물권은 피담보채권의 존재를 선행조건으로 하여 그 권리와 운명을 같이하는데 이를 (     )이라 한다.,부종성(附從性),불가분성(不可分性),물상대위성(物上代位性),수반성(隨伴性),1번,법률적으로 담보물권은 피담보채권의 존재를 선행조건으로 하여 그 권리와 운명을 같이하는데 이를 '부종성'이라 한다. 담보물권의 공통되는 성질 중 하나다.
169,객관식퀴즈,직업용품이나 전시 물품 등을 일시적으로 수출입하고자 할 경우 관세 등을 면제하는 제도를 일는 용어는?,까르네 협정,스냅백(Snap Back),아포스티유(Apostille),베른 협약,1번,까르네 협정은 직업용품이나 전시(회)물품 등을 일시 수출입하고자 할 경우 관세 등을 면제하는 제도이다. 그리고 이 협약의 이름을 따서 CARNET(까르네)통관이라 한다. 물품이나 견본을 국가 간 이동시킬 경우 가입국 간에는 간단한 서류로 통관절차를 보다 간편하게 하기 위한 협약이다. 까르네는 세관검사 시 제출하는 무관세 통행증을 뜻한다.
